ad		date
10003                    201207261333       
10003                    201207261333       
10003                    201207261333       
10004                    201207261333       
10004                    201207261333       
10005                    201207261333       
10005                    201207261333
10001                    201207261745       
10001                    201207261745       
10002                    201207261745       
10002                    201207261745       
10002                    201207261745       
10003                    201207261745   
