ad		date
10015                    201207251333       
10015                    201207251333       
10015                    201207251333       
10016                    201207251333       
10016                    201207251333       
10016                    201207251333       
10016                    201207251333
10017                    201207251745       
10017                    201207251745       
10018                    201207251745       
10018                    201207251745       
10014                    201207251745       
10014                    201207251745   
