acc		date
10005                    201207251333       
10005                    201207251333       
10006                    201207251333       
10006                    201207251333       
10007                    201207251333       
10007                    201207251333       
10008                    201207251333
10008                    201207251745       
10008                    201207251745       
10006                    201207251745       
10006                    201207251745       
10008                    201207251745       
10008                    201207251745   
